LONGITUDE_largegrid,LATITUDE_largegrid,STANDARDISED_KRILL_UNDER_1M2,STANDARDISED_KRILL_UNDER_1M2_var,STANDARDISED_KRILL_UNDER_1M2_log
-179,-77,,,
-179,-75,,,
-179,-73,,,
-179,-71,,,
-179,-69,0.0,,0.0
-179,-67,0.0,,0.0
-179,-65,,,
-179,-63,,,
-179,-61,21.669,,1.355432362470549
-179,-59,,,
-179,-57,,,
-179,-55,,,
-179,-53,,,
-179,-51,,,
-179,-49,,,
-179,-47,,,
-177,-77,,,
-177,-75,,,
-177,-73,,,
-177,-71,,,
-177,-69,0.0,,0.0
-177,-67,0.0,,0.0
-177,-65,,,
-177,-63,,,
-177,-61,21.669,,1.355432362470549
-177,-59,,,
-177,-57,,,
-177,-55,,,
-177,-53,,,
-177,-51,,,
-177,-49,,,
-177,-47,,,
-175,-77,,,
-175,-75,,,
-175,-73,,,
-175,-71,0.17766666666666667,0.09469633333333335,0.07102238271518305
-175,-69,,,
-175,-67,0.0,,0.0
-175,-65,,,
-175,-63,,,
-175,-61,0.0,0.0,0.0
-175,-59,,,
-175,-57,,,
-175,-55,,,
-175,-53,,,
-175,-51,,,
-175,-49,,,
-175,-47,,,
-173,-77,,,
-173,-75,,,
-173,-73,,,
-173,-71,0.17766666666666667,0.09469633333333335,0.07102238271518305
-173,-69,,,
-173,-67,0.0,,0.0
-173,-65,,,
-173,-63,,,
-173,-61,0.0,0.0,0.0
-173,-59,,,
-173,-57,,,
-173,-55,,,
-173,-53,,,
-173,-51,,,
-173,-49,,,
-173,-47,,,
-171,-77,,,
-171,-75,,,
-171,-73,,,
-171,-71,0.17766666666666667,0.09469633333333335,0.07102238271518305
-171,-69,,,
-171,-67,0.0,,0.0
-171,-65,,,
-171,-63,,,
-171,-61,0.0,0.0,0.0
-171,-59,,,
-171,-57,,,
-171,-55,,,
-171,-53,,,
-171,-51,,,
-171,-49,,,
-171,-47,,,
-169,-77,,,
-169,-75,,,
-169,-73,,,
-169,-71,,,
-169,-69,,,
-169,-67,0.067,0.008978000000000002,0.028164419424469872
-169,-65,0.07133333333333333,0.015265333333333332,0.02992461770766326
-169,-63,0.1645,0.0541205,0.06613949287069953
-169,-61,0.16,,0.06445798922691845
-169,-59,0.0,0.0,0.0
-169,-57,,,
-169,-55,,,
-169,-53,,,
-169,-51,,,
-169,-49,,,
-169,-47,,,
-167,-77,,,
-167,-75,,,
-167,-73,,,
-167,-71,,,
-167,-69,,,
